Радиация,Температура,Время,Выживаемость
0.0,43.0,45.0,0.22864568696093146
4.0,43.0,45.0,0.0506598191305974
6.0,43.0,45.0,0.013274561333023283
2.0,44.0,30.0,0.007569736680452687
6.0,44.0,30.0,0.00030728300536099647
4.0,44.0,30.0,0.008558938746537095
0.0,43.0,45.0,0.18832897957470135
4.0,44.0,30.0,0.007185518576840646
6.0,42.0,45.0,0.029054938047444266
4.0,42.0,45.0,0.24670923685911517
4.0,42.0,45.0,0.18206949439397535
4.0,42.0,45.0,0.25881670661689665
6.0,44.0,30.0,0.00031434694961072313
2.0,42.0,45.0,0.20662884784919205
8.0,43.0,45.0,3.8724508828872954e-05
2.0,43.0,45.0,0.059114690507379
0.0,42.0,45.0,0.53
2.0,42.0,45.0,0.42677537332583926
0.0,43.0,45.0,0.17092410237116143
6.0,42.0,45.0,0.018224389212140518
8.0,44.0,30.0,0.0
8.0,44.0,30.0,0.0
0.0,43.0,45.0,0.16952444614081078
4.0,43.0,45.0,0.07153248567737173
2.0,44.0,30.0,0.009001605159716371
0.0,42.0,45.0,0.5102842779557776
0.0,43.0,45.0,0.18030274287591408
0.0,43.0,45.0,0.16102923353881016
4.0,43.0,45.0,0.059114690507379
4.0,43.0,45.0,0.04492635207425875
4.0,42.0,45.0,0.24319257038675848
6.0,42.0,45.0,0.021945186254364504
6.0,44.0,30.0,0.00032590427150979405
6.0,42.0,45.0,0.02533875332514639
0.0,42.0,45.0,0.53
4.0,44.0,30.0,0.00889301038518649
0.0,44.0,30.0,0.019511328380040677
2.0,43.0,45.0,0.04462759588885526
4.0,42.0,45.0,0.2734651178895434
2.0,43.0,45.0,0.041574240816677294
2.0,42.0,45.0,0.19871017703722837
6.0,44.0,30.0,0.0003041040984713503
0.0,44.0,30.0,0.017218231739025508
2.0,43.0,45.0,0.04866920928171172
2.0,43.0,45.0,0.055637765091166226
8.0,42.0,45.0,0.0007671916188197634
8.0,44.0,30.0,0.0
4.0,42.0,45.0,0.29500869018580056
6.0,42.0,45.0,0.018392703370806993
0.0,44.0,30.0,0.02153347063652082
2.0,44.0,30.0,0.00884108741691787
8.0,44.0,30.0,0.0
6.0,44.0,30.0,0.00023655014616693446
8.0,43.0,45.0,4.132869334188843e-05
8.0,43.0,45.0,4.1911936779362014e-05
2.0,44.0,30.0,0.009110072345155219
4.0,43.0,45.0,0.05723189774955716
0.0,42.0,45.0,0.53
0.0,43.0,45.0,0.17956775582505513
0.0,42.0,45.0,0.53
0.0,43.0,45.0,0.2439043940890041
8.0,44.0,30.0,0.0
4.0,43.0,45.0,0.045100311972634144
2.0,43.0,45.0,0.060739483923681795
6.0,42.0,45.0,0.022379079772933234
4.0,43.0,45.0,0.044417536277117746
4.0,43.0,45.0,0.056639880795461534
0.0,43.0,45.0,0.16343312035590155
0.0,42.0,45.0,0.53
4.0,44.0,30.0,0.007908420454823028
4.0,43.0,45.0,0.05433517977949586
2.0,42.0,45.0,0.29760507912294676
6.0,43.0,45.0,0.013365616181568717
6.0,44.0,30.0,0.00024612354090138195
8.0,42.0,45.0,0.0006536982706720527
6.0,42.0,45.0,0.02523468434180278
8.0,42.0,45.0,0.0008132604040472209
8.0,44.0,30.0,0.0
6.0,42.0,45.0,0.019626433406451274
8.0,42.0,45.0,0.0007442993222660848
6.0,42.0,45.0,0.024225185183440506
6.0,44.0,30.0,0.00026892289867456326
6.0,43.0,45.0,0.012430604396117133
8.0,42.0,45.0,0.0006811614851101229
4.0,44.0,30.0,0.006449463586637866
8.0,43.0,45.0,4.0963773396992086e-05
8.0,43.0,45.0,3.936099758459265e-05
8.0,44.0,30.0,4.51109745980834e-08
4.0,44.0,30.0,0.006438676083540361
0.0,44.0,30.0,0.021186991882824524
8.0,42.0,45.0,0.0007625082250026145
4.0,42.0,45.0,0.2382991213611811
0.0,44.0,30.0,0.022790016550408704
8.0,43.0,45.0,3.7393329843145546e-05
8.0,42.0,45.0,0.0007252392432991973
4.0,42.0,45.0,0.17140847415834795
2.0,43.0,45.0,0.05155923377694413
2.0,42.0,45.0,0.2041657358414433
4.0,44.0,30.0,0.0063449667805455965
4.0,42.0,45.0,0.28268866192278086
0.0,43.0,45.0,0.16636312665890549
6.0,44.0,30.0,0.00030631713940398875
6.0,44.0,30.0,0.00035973478033462505
4.0,42.0,45.0,0.15800000173834605
6.0,43.0,45.0,0.012352809108633874
2.0,43.0,45.0,0.04629638716644258
2.0,43.0,45.0,0.040429334335032235
2.0,43.0,45.0,0.057396090881860574
4.0,44.0,30.0,0.007761471914554925
4.0,43.0,45.0,0.05386407504836123
4.0,44.0,30.0,0.009954552725519985
2.0,42.0,45.0,0.28268866192278086
0.0,42.0,45.0,0.5124569555542998
6.0,44.0,30.0,0.0002651766263814743
0.0,43.0,45.0,0.15545675379486967
0.0,44.0,30.0,0.018570209470791618
6.0,42.0,45.0,0.022765711750228807
4.0,44.0,30.0,0.007614775251976523
8.0,44.0,30.0,5.922056460318281e-08
8.0,44.0,30.0,1.30722162132621e-07
8.0,42.0,45.0,0.0006668775294298535
6.0,43.0,45.0,0.01261602794212272
8.0,43.0,45.0,4.370039427644772e-05
6.0,43.0,45.0,0.011941453281483758
0.0,44.0,30.0,0.018149658431457424
6.0,42.0,45.0,0.017198143056308544
2.0,42.0,45.0,0.2664532045955807
0.0,42.0,45.0,0.53
0.0,44.0,30.0,0.020649570482858513
6.0,43.0,45.0,0.011061966475798527
2.0,43.0,45.0,0.06449968894370638
8.0,44.0,30.0,0.0
0.0,42.0,45.0,0.53
6.0,43.0,45.0,0.009730524256275807
6.0,42.0,45.0,0.025062885662377923
0.0,42.0,45.0,0.5193417149684795
2.0,44.0,30.0,0.0072632516716912374
6.0,43.0,45.0,0.01084449745389618
0.0,42.0,45.0,0.53
0.0,44.0,30.0,0.017340234658716088
2.0,43.0,45.0,0.05175177699216117
8.0,42.0,45.0,0.0005687063778169432
4.0,42.0,45.0,0.2592563658808575
0.0,43.0,45.0,0.17219745270863013
