Радиация,Температура,Время,Выживаемость,thermal_rank,thermal_label,CEM43,generation_block
0.0,43.0,45.0,0.22864568696093146,1,43C_45min,45.0,35
4.0,43.0,45.0,0.0506598191305974,1,43C_45min,45.0,49
6.0,43.0,45.0,0.013274561333023283,1,43C_45min,45.0,49
2.0,44.0,30.0,0.007569736680452687,2,44C_30min,60.0,44
6.0,44.0,30.0,0.00030728300536099647,2,44C_30min,60.0,27
4.0,44.0,30.0,0.008558938746537095,2,44C_30min,60.0,45
0.0,43.0,45.0,0.18832897957470135,1,43C_45min,45.0,42
4.0,44.0,30.0,0.007185518576840646,2,44C_30min,60.0,34
6.0,42.0,45.0,0.029054938047444266,0,42C_45min,11.25,57
4.0,42.0,45.0,0.24670923685911517,0,42C_45min,11.25,9
4.0,42.0,45.0,0.18206949439397535,0,42C_45min,11.25,54
4.0,42.0,45.0,0.25881670661689665,0,42C_45min,11.25,5
6.0,44.0,30.0,0.00031434694961072313,2,44C_30min,60.0,42
2.0,42.0,45.0,0.20662884784919205,0,42C_45min,11.25,65
8.0,43.0,45.0,3.8724508828872954e-05,1,43C_45min,45.0,62
2.0,43.0,45.0,0.059114690507379,1,43C_45min,45.0,60
0.0,42.0,45.0,0.53,0,42C_45min,11.25,19
2.0,42.0,45.0,0.42677537332583926,0,42C_45min,11.25,59
0.0,43.0,45.0,0.17092410237116143,1,43C_45min,45.0,51
6.0,42.0,45.0,0.018224389212140518,0,42C_45min,11.25,21
8.0,44.0,30.0,0.0,2,44C_30min,60.0,36
8.0,44.0,30.0,0.0,2,44C_30min,60.0,11
0.0,43.0,45.0,0.16952444614081078,1,43C_45min,45.0,25
4.0,43.0,45.0,0.07153248567737173,1,43C_45min,45.0,35
2.0,44.0,30.0,0.009001605159716371,2,44C_30min,60.0,14
0.0,42.0,45.0,0.5102842779557776,0,42C_45min,11.25,16
0.0,43.0,45.0,0.18030274287591408,1,43C_45min,45.0,7
0.0,43.0,45.0,0.16102923353881016,1,43C_45min,45.0,66
4.0,43.0,45.0,0.059114690507379,1,43C_45min,45.0,60
4.0,43.0,45.0,0.04492635207425875,1,43C_45min,45.0,63
4.0,42.0,45.0,0.24319257038675848,0,42C_45min,11.25,23
6.0,42.0,45.0,0.021945186254364504,0,42C_45min,11.25,9
6.0,44.0,30.0,0.00032590427150979405,2,44C_30min,60.0,41
6.0,42.0,45.0,0.02533875332514639,0,42C_45min,11.25,33
0.0,42.0,45.0,0.53,0,42C_45min,11.25,25
4.0,44.0,30.0,0.00889301038518649,2,44C_30min,60.0,13
0.0,44.0,30.0,0.019511328380040677,2,44C_30min,60.0,46
2.0,43.0,45.0,0.04462759588885526,1,43C_45min,45.0,39
4.0,42.0,45.0,0.2734651178895434,0,42C_45min,11.25,60
2.0,43.0,45.0,0.041574240816677294,1,43C_45min,45.0,4
2.0,42.0,45.0,0.19871017703722837,0,42C_45min,11.25,22
6.0,44.0,30.0,0.0003041040984713503,2,44C_30min,60.0,6
0.0,44.0,30.0,0.017218231739025508,2,44C_30min,60.0,21
2.0,43.0,45.0,0.04866920928171172,1,43C_45min,45.0,65
2.0,43.0,45.0,0.055637765091166226,1,43C_45min,45.0,20
8.0,42.0,45.0,0.0007671916188197634,0,42C_45min,11.25,18
8.0,44.0,30.0,0.0,2,44C_30min,60.0,61
4.0,42.0,45.0,0.29500869018580056,0,42C_45min,11.25,40
6.0,42.0,45.0,0.018392703370806993,0,42C_45min,11.25,29
0.0,44.0,30.0,0.02153347063652082,2,44C_30min,60.0,56
2.0,44.0,30.0,0.00884108741691787,2,44C_30min,60.0,38
8.0,44.0,30.0,0.0,2,44C_30min,60.0,58
6.0,44.0,30.0,0.00023655014616693446,2,44C_30min,60.0,17
8.0,43.0,45.0,4.132869334188843e-05,1,43C_45min,45.0,38
8.0,43.0,45.0,4.1911936779362014e-05,1,43C_45min,45.0,1
2.0,44.0,30.0,0.009110072345155219,2,44C_30min,60.0,2
4.0,43.0,45.0,0.05723189774955716,1,43C_45min,45.0,41
0.0,42.0,45.0,0.53,0,42C_45min,11.25,1
0.0,43.0,45.0,0.17956775582505513,1,43C_45min,45.0,15
0.0,42.0,45.0,0.53,0,42C_45min,11.25,55
0.0,43.0,45.0,0.2439043940890041,1,43C_45min,45.0,20
8.0,44.0,30.0,0.0,2,44C_30min,60.0,3
4.0,43.0,45.0,0.045100311972634144,1,43C_45min,45.0,36
2.0,43.0,45.0,0.060739483923681795,1,43C_45min,45.0,14
6.0,42.0,45.0,0.022379079772933234,0,42C_45min,11.25,40
4.0,43.0,45.0,0.044417536277117746,1,43C_45min,45.0,46
4.0,43.0,45.0,0.056639880795461534,1,43C_45min,45.0,44
0.0,43.0,45.0,0.16343312035590155,1,43C_45min,45.0,58
0.0,42.0,45.0,0.53,0,42C_45min,11.25,5
4.0,44.0,30.0,0.007908420454823028,2,44C_30min,60.0,36
4.0,43.0,45.0,0.05433517977949586,1,43C_45min,45.0,7
2.0,42.0,45.0,0.29760507912294676,0,42C_45min,11.25,33
6.0,43.0,45.0,0.013365616181568717,1,43C_45min,45.0,39
6.0,44.0,30.0,0.00024612354090138195,2,44C_30min,60.0,49
8.0,42.0,45.0,0.0006536982706720527,0,42C_45min,11.25,19
6.0,42.0,45.0,0.02523468434180278,0,42C_45min,11.25,19
8.0,42.0,45.0,0.0008132604040472209,0,42C_45min,11.25,43
8.0,44.0,30.0,0.0,2,44C_30min,60.0,2
6.0,42.0,45.0,0.019626433406451274,0,42C_45min,11.25,39
8.0,42.0,45.0,0.0007442993222660848,0,42C_45min,11.25,20
6.0,42.0,45.0,0.024225185183440506,0,42C_45min,11.25,45
6.0,44.0,30.0,0.00026892289867456326,2,44C_30min,60.0,4
6.0,43.0,45.0,0.012430604396117133,1,43C_45min,45.0,18
8.0,42.0,45.0,0.0006811614851101229,0,42C_45min,11.25,4
4.0,44.0,30.0,0.006449463586637866,2,44C_30min,60.0,21
8.0,43.0,45.0,4.0963773396992086e-05,1,43C_45min,45.0,36
8.0,43.0,45.0,3.936099758459265e-05,1,43C_45min,45.0,66
8.0,44.0,30.0,4.51109745980834e-08,2,44C_30min,60.0,47
4.0,44.0,30.0,0.006438676083540361,2,44C_30min,60.0,50
0.0,44.0,30.0,0.021186991882824524,2,44C_30min,60.0,22
8.0,42.0,45.0,0.0007625082250026145,0,42C_45min,11.25,25
4.0,42.0,45.0,0.2382991213611811,0,42C_45min,11.25,30
0.0,44.0,30.0,0.022790016550408704,2,44C_30min,60.0,35
8.0,43.0,45.0,3.7393329843145546e-05,1,43C_45min,45.0,14
8.0,42.0,45.0,0.0007252392432991973,0,42C_45min,11.25,52
4.0,42.0,45.0,0.17140847415834795,0,42C_45min,11.25,29
2.0,43.0,45.0,0.05155923377694413,1,43C_45min,45.0,51
2.0,42.0,45.0,0.2041657358414433,0,42C_45min,11.25,6
4.0,44.0,30.0,0.0063449667805455965,2,44C_30min,60.0,4
4.0,42.0,45.0,0.28268866192278086,0,42C_45min,11.25,55
0.0,43.0,45.0,0.16636312665890549,1,43C_45min,45.0,48
