Радиация,Температура,Время,Выживаемость,thermal_rank,thermal_label,CEM43
0.0,42.0,45.0,0.53,0,42C_45min,11.25
0.0,43.0,45.0,0.18,1,43C_45min,45.0
0.0,44.0,30.0,0.021,2,44C_30min,60.0
2.0,42.0,45.0,0.26,0,42C_45min,11.25
2.0,43.0,45.0,0.051,1,43C_45min,45.0
2.0,44.0,30.0,0.008,2,44C_30min,60.0
4.0,42.0,45.0,0.26,0,42C_45min,11.25
4.0,43.0,45.0,0.051,1,43C_45min,45.0
4.0,44.0,30.0,0.008,2,44C_30min,60.0
6.0,42.0,45.0,0.022,0,42C_45min,11.25
6.0,43.0,45.0,0.012,1,43C_45min,45.0
6.0,44.0,30.0,0.0003,2,44C_30min,60.0
8.0,42.0,45.0,0.0007,0,42C_45min,11.25
8.0,43.0,45.0,4e-05,1,43C_45min,45.0
8.0,44.0,30.0,0.0,2,44C_30min,60.0
