metric,mean,std,min,max
mean_wasserstein_normalized,0.004520190549359219,0.0003169397450295694,0.003972398963025953,0.00503194747440433
mean_ks_statistic,0.019229166666666665,0.0007927623996016855,0.018333333333333333,0.020916666666666667
pearson_correlation_frobenius,0.01021854521217489,0.002453152296446952,0.007628259682817718,0.015599955573208675
pearson_correlation_mean_abs_diff,0.0017833532072595133,0.0004998534755328477,0.0010987126858265895,0.002769968615625444
spearman_correlation_frobenius,0.04495489412227813,0.0031860434126375855,0.03832673815834431,0.048803789323681984
spearman_correlation_mean_abs_diff,0.007187817653240043,0.0006774444994260786,0.005797479274867179,0.007936081176773444
separability_auc_mean,0.36836111111111103,0.03981791669964446,0.3055555555555555,0.4295555555555556
separability_auc_std,0.10902960452286295,0.0180607137324074,0.06728454411336388,0.12672532754731908
separability_auc_distance_from_0_5,0.13163888888888892,0.03981791669964446,0.07044444444444442,0.19444444444444448
separability_gini_mean,-0.2632777777777778,0.07963583339928888,-0.3888888888888889,-0.1408888888888889
separability_gini_abs_mean,0.2967222222222222,0.06207780860329763,0.1977777777777778,0.3888888888888889
tstr_mae,0.0015991204683737234,0.0001996676925547683,0.0013503248717950838,0.001834583878356442
tstr_rmse,0.0033307831885821147,0.0003832142232046396,0.0027972786362716324,0.0037920146233959237
tstr_r2,0.9994795956549707,0.0001174831012377627,0.9993332133006408,0.9996371573097774
trtr_mae_leave_one_out,0.09596009184827442,0.001458195202378528,0.09355600693386242,0.09787888468795097
trtr_rmse_leave_one_out,0.13182034317742344,0.0015067591714939834,0.12988508669672574,0.13391478732610235
trtr_r2_leave_one_out,0.1941365776784566,0.018438346987293474,0.16842008157056398,0.21771410739190689
tstr_to_trtr_mae_ratio,0.016671974379900607,0.0021358445992246786,0.013795875137932694,0.019463653731422156
real_to_synth_mean_nn_distance,0.001925879169975651,0.0014505620814461051,0.00040811694845518015,0.004919914644545702
synth_to_real_mean_nn_distance,0.06503678810206165,0.003923764242844013,0.059682056066337634,0.06959568330511955
duplicate_rate_vs_real,0.127125,0.0037583240945932308,0.122,0.134
support_violation_rate_mean,0.0,0.0,0.0,0.0
support_violation_rate_max,0.0,0.0,0.0,0.0
exact_design_support_rate,1.0,0.0,1.0,1.0
local_mean_abs_error,0.0015899150759126706,0.00018955058622648156,0.0013428383240342665,0.0018119462917693815
local_max_abs_error,0.010440431864282576,0.0013267459811486875,0.008697488891582006,0.012139464239201703
radiation_monotonicity_mean_rate,1.0,0.0,1.0,1.0
thermal_monotonicity_mean_rate,1.0,0.0,1.0,1.0
high_combined_dose_low_survival_rate,1.0,0.0,1.0,1.0
independent_article_compliance_mean,1.0,0.0,1.0,1.0
x_pass_rate,1.0,0.0,1.0,1.0
x_mean_pressure,0.03478773551423575,0.0,0.03478773551423575,0.03478773551423575
x_mean_delta_proj,0.0033261215887608136,0.0,0.0033261215887608136,0.0033261215887608136
x_mean_delta_calib,0.03146161392547493,0.0,0.03146161392547493,0.03146161392547493
